endpoint,temperature,time_min,median,lower,upper,ref_median,log10_diff_vs_infectivity,fold_reduction_vs_infectivity,log10_infectivity_minus_endpoint,infectivity_reduction_fold_larger
RT-qPCR,63,5,0.3870237986604642,0.1814023925257117,0.7822124702519386,1.161162597265066,-0.7741387986046019,0.16821363717740173,0.7741387986046019,5.9448212212745775
RNase/PMA RT-qPCR,63,5,0.4141384551002687,0.1941765224720316,0.8361906567474455,1.161162597265066,-0.7470241421647974,0.17905063181169273,0.7470241421647974,5.585012406165081
PGM RT-qPCR,63,5,0.4350945155192342,0.20353783659649077,0.8799169189407495,1.161162597265066,-0.7260680817458318,0.18790222306481175,0.7260680817458318,5.32191681231508
RT-qPCR,63,10,0.5511873564605998,0.2584383254445164,1.1082097377161788,1.5180387771378272,-0.9668514206772274,0.10793159108917035,0.9668514206772274,9.265127938064262
RNase/PMA RT-qPCR,63,10,0.5894476281690749,0.27695552946617474,1.1848375704462426,1.5180387771378272,-0.9285911489687523,0.11787151106088777,0.9285911489687523,8.483814205821451
PGM RT-qPCR,63,10,0.6190220517794796,0.2897830459521534,1.2476603488374578,1.5180387771378272,-0.8990167253583476,0.12617789405785668,0.8990167253583476,7.925318515313525
RT-qPCR,63,20,0.7818677637790745,0.3695165431499285,1.5764361704706862,1.9824665359060059,-1.2005987721269313,0.06300880280006023,1.2005987721269313,15.87079829421936
RNase/PMA RT-qPCR,63,20,0.8372594141311209,0.3955852851838242,1.687484901894899,1.9824665359060059,-1.145207121774885,0.07158019517421599,1.145207121774885,13.970344696129182
PGM RT-qPCR,63,20,0.8800224849509759,0.41455886053040225,1.7835395164436143,1.9824665359060059,-1.10244405095503,0.07898705998504935,1.10244405095503,12.660301575843938
RT-qPCR,72,5,0.4072155900109281,0.19150893249178227,0.8215598462568161,1.5143280904442973,-1.1071125004333693,0.07814253565210066,1.1071125004333693,12.797127603487455
RNase/PMA RT-qPCR,72,5,0.5352284413419797,0.2508220500306742,1.0812924523905634,1.5143280904442973,-0.9790996491023176,0.10493016382037161,0.9790996491023176,9.530148086987504
PGM RT-qPCR,72,5,0.6514059280309814,0.3056050201220335,1.329901333037026,1.5143280904442973,-0.8629221624133159,0.13711274881246546,0.8629221624133159,7.293267830023155
RT-qPCR,72,10,0.5785378058029083,0.2739630031515003,1.1610181378429425,1.980303525873183,-1.4017657200702747,0.039649186390244624,1.4017657200702747,25.221198492134562
RNase/PMA RT-qPCR,72,10,0.7623477789110364,0.35956780852306613,1.545413168946186,1.980303525873183,-1.2179557469621465,0.06054025599436095,1.2179557469621465,16.517934778689167
PGM RT-qPCR,72,10,0.926571253364322,0.43744260973450744,1.899375145903038,1.980303525873183,-1.053732272508861,0.08836244563935565,1.053732272508861,11.317024928004155
RT-qPCR,72,20,0.8227079729825449,0.3889619903788787,1.663820855540772,2.5900154127728987,-1.7673074397903537,0.01708805212882822,1.7673074397903537,58.52042072794011
RNase/PMA RT-qPCR,72,20,1.0827787283631696,0.5142858870932248,2.202955057683038,2.5900154127728987,-1.5072366844097291,0.03110020957307365,1.5072366844097291,32.15412415952956
PGM RT-qPCR,72,20,1.31870900588641,0.6239967152764044,2.70840854249587,2.5900154127728987,-1.2713064068864888,0.05354187713273875,1.2713064068864888,18.67696938455935
RT-qPCR,85,5,0.4381319433991976,0.20582116093492028,0.887725126636206,2.222249341871799,-1.7841173984726013,0.01643927276769271,1.7841173984726013,60.82994145369073
RNase/PMA RT-qPCR,85,5,0.7772089340290571,0.3615420299375066,1.5809508401340047,2.222249341871799,-1.445040407842742,0.03588885412057441,1.445040407842742,27.863804083583673
PGM RT-qPCR,85,5,1.179293940499043,0.5328609804470381,2.510676339037843,2.222249341871799,-1.042955401372756,0.09058256172879993,1.042955401372756,11.039652455336322
RT-qPCR,85,10,0.6236508734295754,0.2943633040030872,1.2602404728998098,2.906542925212873,-2.2828920517832976,0.005213242753403807,2.2828920517832976,191.81918957199616
RNase/PMA RT-qPCR,85,10,1.1035691652498723,0.5174417483737995,2.248516634282612,2.906542925212873,-1.8029737599630007,0.015740779672549002,1.8029737599630007,63.529254636855214
PGM RT-qPCR,85,10,1.6748251423218719,0.7553766171575718,3.572482505394519,2.906542925212873,-1.231717782891001,0.058651917782083375,1.231717782891001,17.04974087489214
RT-qPCR,85,20,0.8858694617765785,0.41814699471621836,1.7916639865252206,3.8027706603419986,-2.9169011985654203,0.0012108735743947441,2.9169011985654203,825.850048383334
RNase/PMA RT-qPCR,85,20,1.568811275956102,0.7370741740518385,3.1952197288478787,3.8027706603419986,-2.233959384385897,0.005834996711409492,2.233959384385897,171.37970241605186
PGM RT-qPCR,85,20,2.3781490772140126,1.067926610658775,5.109653006615998,3.8027706603419986,-1.424621583127986,0.03761650280576246,1.424621583127986,26.584076812340204
